date,qty,symbol,price
2019-03-05,56,DABUR,442.8
2019-03-05,30,TECHM,810.0
2019-03-05,1,HONAUT,22191.6
2019-03-05,28,TORNTPHARM,886.38
2019-03-05,488,ADANIPOWER,51.15
2019-03-05,7,PFIZER,3320.8
2019-03-05,12,TCS,1988.1
2019-03-05,170,PRAJIND,146.75
2019-03-05,44,RELIANCE,561.81
2019-03-05,9,BAJFINANCE,2695.15
2019-03-05,110,ABFRL,225.55
2019-03-05,65,TIINDIA,380.0
2019-03-05,50,ASTRAL,498.22
2019-03-05,34,AXISBANK,732.05
2019-03-05,15,DIVISLAB,1663.7
2019-03-05,57,IPCALAB,437.68
2019-03-05,31,VINATIORGA,793.33
2019-03-05,43,MUTHOOTFIN,569.55
2019-03-05,19,BATAINDIA,1305.65
2019-03-05,14,NAUKRI,1763.65
2019-04-01,-56,DABUR,400.95
2019-04-01,-30,TECHM,785.5
2019-04-01,12,ASTRAZEN,2010.95
2019-04-01,7,MAHSCOOTER,3561.15
2019-05-02,-1,HONAUT,23871.75
2019-05-02,-28,TORNTPHARM,884.45
2019-05-02,161,BALRAMCHIN,154.7
2019-05-02,22,ICICIGI,1104.2
2019-06-03,-488,ADANIPOWER,50.35
2019-06-03,-7,PFIZER,3131.05
2019-06-03,-12,TCS,2242.3
2019-06-03,31,JUSTDIAL,795.0
2019-06-03,47,DCMSHRIRAM,531.45
2019-06-03,106,ADANIENSOL,235.7
2019-07-01,-170,PRAJIND,139.1
2019-07-01,-44,RELIANCE,575.97
2019-07-01,-31,JUSTDIAL,761.6
2019-07-01,241,PFC,103.36
2019-07-01,414,ADANIPOWER,60.3
2019-07-01,41,SRF,604.11
2019-08-01,-9,BAJFINANCE,3222.1
2019-08-01,-110,ABFRL,187.25
2019-08-01,-65,TIINDIA,357.5
2019-08-01,-50,ASTRAL,555.19
2019-08-01,-34,AXISBANK,669.3
2019-08-01,-47,DCMSHRIRAM,399.2
2019-08-01,-106,ADANIENSOL,203.5
2019-08-01,-241,PFC,85.12
2019-08-01,207,RITES,120.22
2019-08-01,85,INOXLEISUR,294.1
2019-08-01,59,ICICIBANK,417.05
2019-08-01,18,APOLLOHOSP,1365.55
2019-08-01,16,INDIGO,1551.6
2019-08-01,26,GODREJPROP,941.6
2019-08-01,22,PIIND,1115.45
2019-08-01,17,FINEORG,1400.2
2019-09-03,-12,ASTRAZEN,1846.4
2019-09-03,-207,RITES,111.03
2019-09-03,-85,INOXLEISUR,268.7
2019-09-03,777,HATHWAY,32.15
2019-09-03,126,BRIGADE,197.8
2019-09-03,9,HDFCAMC,2652.3
2019-10-01,-15,DIVISLAB,1622.55
2019-10-01,-57,IPCALAB,447.43
2019-10-01,-59,ICICIBANK,424.6
2019-10-01,-18,APOLLOHOSP,1369.25
2019-10-01,-777,HATHWAY,20.95
2019-10-01,479,CGCL,52.16
2019-10-01,16,SIEMENS,1543.25
2019-10-01,186,MANAPPURAM,134.3
2019-10-01,37,CREDITACC,670.15
2019-10-01,6,BAJFINANCE,3992.4
2019-11-01,-161,BALRAMCHIN,164.5
2019-11-01,-16,INDIGO,1438.65
2019-11-01,70,NAM-INDIA,355.9
2019-11-01,277,ADANIGREEN,89.95
2019-12-02,-31,VINATIORGA,988.43
2019-12-02,-43,MUTHOOTFIN,677.1
2019-12-02,-414,ADANIPOWER,62.3
