date,qty,symbol,price
2024-09-02,2,TRENT,7143.80
2024-09-02,20,RECLTD,617.20
2024-09-02,21,RVNL,597.35
2024-09-02,7,PRESTIGE,1803.85
2024-09-02,24,PCBL,496.15
2024-09-02,17,OIL,724.40
2024-09-02,66,NBCC,189.00
2024-09-02,17,MOTILALOFS,739.75
2024-09-02,2,MCX,5174.80
2024-09-02,12,KFINTECH,1052.05
2024-09-02,3,KAYNES,4722.30
2024-09-02,20,KALYANKJIL,629.25
2024-09-02,57,INOXWIND,218.27
2024-09-02,1,POWERINDIA,11891.50
2024-09-02,24,HSCL,535.04
2024-09-02,2,GODFRYPHLP,6594.45
2024-09-02,1,DIXON,12558.00
2024-09-02,5,BSE,2771.95
2024-09-02,5,BBTC,2477.55
2024-09-02,3,ANANDRATHI,3839.00
2024-09-25,2,TRENT,7630.00
2024-09-25,20,RECLTD,545.00
2024-09-25,21,RVNL,518.25
2024-09-25,7,PRESTIGE,1825.50
2024-09-25,24,PCBL,533.54
2024-09-25,17,OIL,582.04
2024-09-25,66,NBCC,173.24
2024-09-25,17,MOTILALOFS,764.72
2024-09-25,2,MCX,5824.20
2024-09-25,12,KFINTECH,1092.57
2024-09-25,3,KAYNES,5534.85
2024-09-25,20,KALYANKJIL,764.50
2024-09-25,57,INOXWIND,249.80
2024-09-25,1,POWERINDIA,13411.20
2024-09-25,24,HSCL,653.00
2024-09-25,2,GODFRYPHLP,7161.40
2024-09-25,1,DIXON,14076.50
2024-09-25,5,BSE,3848.65
2024-09-25,5,BBTC,2709.72
2024-09-25,3,ANANDRATHI,3903.48
2024-10-01,-40,RECLTD,559.95
2024-10-01,-42,RVNL,528.29
2024-10-01,-14,PRESTIGE,1826.00
2024-10-01,-34,OIL,579.15
2024-10-01,-132,NBCC,179.63
2024-10-01,-34,MOTILALOFS,742.75
2024-10-01,-24,KFINTECH,1053.50
2024-10-01,-114,INOXWIND,238.90
2024-10-01,-4,GODFRYPHLP,6925.03
2024-10-01,-6,ANANDRATHI,3908.50
2024-10-01,57,HINDPETRO,441.30
2024-10-01,22,JUBLPHARMA,1160.07
2024-10-01,2,OFSS,11434.05
2024-10-01,92,ZOMATO,272.25
2024-10-01,13,SOBHA,1929.85
2024-10-01,3,BASF,7549.20
2024-10-01,18,NEWGEN,1318.73
2024-10-01,35,ANANTRAJ,707.45
2024-10-01,15,GVT&D,1679.00
2024-11-04,-4,TRENT,7070.35
2024-11-04,-48,PCBL,412.70
2024-11-04,-40,KALYANKJIL,657.40
2024-11-04,-48,HSCL,567.49
2024-11-04,-2,DIXON,13863.10
2024-11-04,-57,HINDPETRO,377.20
2024-11-04,-2,OFSS,10782.10
2024-11-04,-92,ZOMATO,244.28
2024-11-04,-13,SOBHA,1576.38
2024-11-04,8,POLYMED,2904.00
2024-11-04,16,CDSL,1546.10
2024-11-04,19,SUVENPHAR,1313.11
2024-11-04,3,NUVAMA,7065.11
2024-11-04,110,NATIONALUM,227.80
2024-11-04,31,AEGISLOG,810.00
2024-11-04,93,PPLPHARMA,272.94
2024-11-04,9,NETWEB,2693.70
2024-11-04,26,MOTILALOFS,954.85
2024-11-04,111,INOXWIND,218.45
2024-11-06,53,RVNL,465.60
2024-11-06,3,TRENT,6955.85
2024-11-06,15,TECHNOE,1596.49
2024-11-06,-10,BBTC,2715.22
2024-11-06,-8,POLYMED,2839.10
2024-11-06,-16,CDSL,1584.82
